case,n,step_command,step_ack_median_ms,step_ack_p95_ms,step_ack_max_ms,stop_ack_median_ms,stop_ack_p95_ms,stop_ack_max_ms,non_ack_count,scope
speed_150,5,"DRIVE,150,0",74.086888,127.56525260000001,130.246208,110.060558,119.1679512,119.963875,0,command_entry_only
speed_250,5,"DRIVE,250,0",96.635586,167.91953,185.193714,124.305004,196.2854318,212.490672,0,command_entry_only
yaw_left_600,5,"DRIVE,0,600",125.952539,132.2666594,133.648332,115.926868,132.5122254,134.323673,0,command_entry_only
yaw_right_600,5,"DRIVE,0,-600",82.591286,101.3933936,105.776248,123.874514,133.7106224,134.223568,0,command_entry_only
