trial,hello,initial_status_ack,initial_status_serial,disable_ack,disable_serial,disabled_status_ack,disabled_status_serial,neutral_drive_ack,neutral_drive_serial,enable_ack,enable_serial,enabled_status_ack,enabled_status_serial,ble_connected,pass
1,"HELLO,14683,wheeleg_tcp,172.20.10.4:23","ACK,14765,0,BLE_STATUS","BLE connected: yes, input enabled: yes","ACK,14795,0,BLE_DISABLE",BLE input disabled via serial,"ACK,14864,0,BLE_STATUS","BLE connected: yes, input enabled: no","ACK,14883,0,DRIVE,0,0","DRIVE set: 0 mm/s, 0 mrad/s","ACK,14963,0,BLE_ENABLE",BLE input enabled via serial,"ACK,14984,0,BLE_STATUS","BLE connected: yes, input enabled: yes",yes,yes
2,"HELLO,15086,wheeleg_tcp,172.20.10.4:23","ACK,15167,0,BLE_STATUS","BLE connected: yes, input enabled: yes","ACK,15187,0,BLE_DISABLE",BLE input disabled via serial,"ACK,15274,0,BLE_STATUS","BLE connected: yes, input enabled: no","ACK,15294,0,DRIVE,0,0","DRIVE set: 0 mm/s, 0 mrad/s","ACK,15374,0,BLE_ENABLE",BLE input enabled via serial,"ACK,15494,0,BLE_STATUS","BLE connected: yes, input enabled: yes",yes,yes
3,"HELLO,15604,wheeleg_tcp,172.20.10.4:23","ACK,15804,0,BLE_STATUS","BLE connected: yes, input enabled: yes","ACK,15884,0,BLE_DISABLE",BLE input disabled via serial,"ACK,15905,0,BLE_STATUS","BLE connected: yes, input enabled: no","ACK,15998,0,DRIVE,0,0","DRIVE set: 0 mm/s, 0 mrad/s","ACK,16019,0,BLE_ENABLE",BLE input enabled via serial,"ACK,16098,0,BLE_STATUS","BLE connected: yes, input enabled: yes",yes,yes
4,"HELLO,16190,wheeleg_tcp,172.20.10.4:23","ACK,16218,0,BLE_STATUS","BLE connected: yes, input enabled: yes","ACK,16298,0,BLE_DISABLE",BLE input disabled via serial,"ACK,16316,0,BLE_STATUS","BLE connected: yes, input enabled: no","ACK,16389,0,DRIVE,0,0","DRIVE set: 0 mm/s, 0 mrad/s","ACK,16409,0,BLE_ENABLE",BLE input enabled via serial,"ACK,16445,0,BLE_STATUS","BLE connected: yes, input enabled: yes",yes,yes
5,"HELLO,16531,wheeleg_tcp,172.20.10.4:23","ACK,16603,0,BLE_STATUS","BLE connected: yes, input enabled: yes","ACK,16623,0,BLE_DISABLE",BLE input disabled via serial,"ACK,16703,0,BLE_STATUS","BLE connected: yes, input enabled: no","ACK,16722,0,DRIVE,0,0","DRIVE set: 0 mm/s, 0 mrad/s","ACK,16802,0,BLE_ENABLE",BLE input enabled via serial,"ACK,16830,0,BLE_STATUS","BLE connected: yes, input enabled: yes",yes,yes
