trial,hello,pre_balance_off_ack,pre_queue_stop_ack,pre_drive_ack,pre_yawrate_ack,queue_command,queue_command_ack,blocked_drive_ack,blocked_drive_serial,post_queue_stop_ack,post_neutral_drive_ack,pass
1,"HELLO,3673,wheeleg_tcp,172.20.10.4:23","ACK,3689,0,BALANCE_OFF","ACK,3765,0,QUEUE_STOP","ACK,3864,0,DRIVE,0,0","ACK,3972,0,YAWRATE,0","FORWARD,1,2","ACK,4070,1,FORWARD,1,2","ACK,4389,0,DRIVE,250,0",DRIVE ignored: command queue busy,"ACK,4414,0,QUEUE_STOP","ACK,4482,0,DRIVE,0,0",yes
2,"HELLO,4527,wheeleg_tcp,172.20.10.4:23","ACK,4596,0,BALANCE_OFF","ACK,4693,0,QUEUE_STOP","ACK,4789,0,DRIVE,0,0","ACK,4891,0,YAWRATE,0","FORWARD,1,2","ACK,5209,1,FORWARD,1,2","ACK,5516,0,DRIVE,250,0",DRIVE ignored: command queue busy,"ACK,5543,0,QUEUE_STOP","ACK,5719,0,DRIVE,0,0",yes
3,"HELLO,5762,wheeleg_tcp,172.20.10.4:23","ACK,5849,0,BALANCE_OFF","ACK,5924,0,QUEUE_STOP","ACK,6012,0,DRIVE,0,0","ACK,6130,0,YAWRATE,0","FORWARD,1,2","ACK,6217,1,FORWARD,1,2","ACK,6535,0,DRIVE,250,0",DRIVE ignored: command queue busy,"ACK,6550,0,QUEUE_STOP","ACK,6639,0,DRIVE,0,0",yes
4,"HELLO,6677,wheeleg_tcp,172.20.10.4:23","ACK,6746,0,BALANCE_OFF","ACK,6843,0,QUEUE_STOP","ACK,6939,0,DRIVE,0,0","ACK,7045,0,YAWRATE,0","FORWARD,1,2","ACK,7147,1,FORWARD,1,2","ACK,7454,0,DRIVE,250,0",DRIVE ignored: command queue busy,"ACK,7470,0,QUEUE_STOP","ACK,7558,0,DRIVE,0,0",yes
5,"HELLO,7594,wheeleg_tcp,172.20.10.4:23","ACK,7661,0,BALANCE_OFF","ACK,7768,0,QUEUE_STOP","ACK,7864,0,DRIVE,0,0","ACK,7961,0,YAWRATE,0","FORWARD,1,2","ACK,8068,1,FORWARD,1,2","ACK,8376,0,DRIVE,250,0",DRIVE ignored: command queue busy,"ACK,8404,0,QUEUE_STOP","ACK,8474,0,DRIVE,0,0",yes
